time,neuron_index
0.00274014,0,1
0.00276014,0,1
0.00278014,0,1
0.00280014,0,1
0.00282014,0,1
0.00284014,0,1
0.00286014,0,1
0.00288014,0,1
0.00290014,0,1
0.00292014,0,1
0.00292014,1,15
0.00294014,0,1
0.00296014,0,1
0.00298014,0,1
0.00300014,0,1
0.00302014,0,1
0.00304014,0,1
0.00306014,0,1
0.00308014,0,1
0.00310014,0,1
0.00312014,0,1
0.00314014,0,1
0.00316014,0,1
0.00318014,0,1
0.00320014,0,1
0.00322014,0,1
0.00324014,0,1
0.00326014,0,1
0.00328014,0,1
0.00330014,0,1
0.00332014,0,1
0.00334014,0,1
0.00336014,0,1
0.00338014,0,1
0.00340014,0,1
0.00342014,0,1
0.00344014,0,1
0.00346014,0,1
0.00348014,0,1
0.00350014,0,1
0.00352014,0,1
0.00354014,0,1
0.00356014,0,1
0.00358014,0,1
0.00360014,0,1
0.00362014,0,1
0.00364014,0,1
0.00366014,0,1
0.00368014,0,1
0.00370014,0,1
0.00372014,0,1
0.00374014,0,1
0.00376014,0,1
0.00378014,0,1
0.00380014,0,1
0.00382014,0,1
0.00384014,0,1
0.00386014,0,1
0.00388014,0,1
0.00390014,0,1
0.00391014,1,23
0.00392014,0,1
0.00394014,0,1
0.00396014,0,1
0.00398014,0,1
0.00400014,0,1
0.00402014,0,1
0.00404014,0,1
0.00406014,0,1
0.00408014,0,1
0.00410014,0,1
0.00412014,0,1
0.00414014,0,1
0.00416014,0,1
0.00418014,0,1
0.00420014,0,1
0.00422014,0,1
0.00424014,0,1
0.00426014,0,1
0.00428014,0,1
0.00430014,0,1
0.00432014,0,1
0.00434014,0,1
0.00436014,0,1
0.00438014,0,1
0.00440014,0,1
0.00442014,0,1
0.00444014,0,1
0.00445014,1,27
0.00446014,0,1
0.00448014,0,1
0.00450014,0,1
0.00452014,0,1
0.00454014,0,1
0.00456014,0,1
0.00458014,0,1
0.00460014,0,1
0.00460028,1,12
0.00462014,0,1
0.00464014,0,1
0.00464014,1,16
0.00466014,0,1
0.00468014,0,1
0.00470014,0,1
0.00472014,0,1
0.00474014,0,1
0.00476014,0,1
0.00477014,1,32
0.00478014,0,1
0.00480014,0,1
0.00482014,0,1
0.00484014,0,1
0.00485014,1,8
0.00486014,0,1
0.00488014,0,1
0.00488014,1,34
0.00490014,0,1
0.00492014,0,1
0.00492028,1,33
0.00494014,0,1
0.00494014,1,14
0.00496014,0,1
0.00498014,0,1
0.00500014,0,1
0.00502014,0,1
0.00503014,1,18
0.00504014,0,1
0.00506014,0,1
0.00508014,0,1
0.00510014,0,1
0.00512014,0,1
0.00514014,0,1
0.00516014,0,1
0.00518014,0,1
0.00520014,0,1
0.00522014,0,1
0.00524014,0,1
0.00526014,0,1
0.00528014,0,1
0.00530014,0,1
0.00532014,0,1
0.00534014,0,1
0.00536014,0,1
0.00538014,0,1
0.00540014,0,1
0.00541014,1,36
0.00542014,0,1
0.00544014,0,1
0.00546014,0,1
0.00548014,0,1
0.00550014,0,1
0.00552014,0,1
0.00553014,1,26
0.00554014,0,1
0.00555014,1,9
0.00556014,0,1
0.00558014,0,1
0.00560014,0,1
0.00562014,0,1
0.00564014,0,1
0.00566014,0,1
0.00568014,0,1
0.00568028,1,11
0.00570014,0,1
0.00572014,0,1
0.00574014,0,1
0.00576014,0,1
0.00578014,0,1
0.00579014,1,35
0.00580014,0,1
0.00582014,0,1
0.00584014,0,1
0.00586014,0,1
0.00588014,0,1
0.00590014,0,1
0.00592014,0,1
0.00594014,0,1
0.00596014,0,1
0.00598014,0,1
0.00598014,1,22
0.00599014,1,10
0.00600014,0,1
0.00602014,0,1
0.00604014,0,1
0.00606014,0,1
0.00608014,0,1
0.00610014,0,1
0.00612014,0,1
0.00614014,0,1
0.00616014,0,1
0.00618014,0,1
0.00620014,0,1
0.00622014,0,1
0.00624014,0,1
0.00626014,0,1
0.00628014,0,1
0.00630014,0,1
0.00632014,0,1
0.00634014,0,1
0.00636014,0,1
0.00638014,0,1
0.00640014,0,1
0.00642014,0,1
0.00644014,0,1
0.00646014,0,1
0.00648014,0,1
0.00650014,0,1
0.00652014,0,1
0.00654014,0,1
0.00656014,0,1
0.00658014,0,1
0.00660014,0,1
0.00662014,0,1
0.00664014,0,1
0.00666014,0,1
0.00668014,0,1
0.00670014,0,1
0.00672014,0,1
0.00674014,0,1
0.00676014,0,1
0.00678014,0,1
0.00680014,0,1
0.00682014,0,1
0.00684014,0,1
0.00686014,0,1
0.00688014,0,1
0.00690014,0,1
0.00692014,0,1
0.00694014,0,1
0.00696014,0,1
0.00698014,0,1
0.00700014,0,1
0.00702014,0,1
0.00704014,0,1
0.00706014,0,1
0.00708014,0,1
0.00710014,0,1
0.00712014,0,1
0.00714014,0,1
0.00716014,0,1
0.00718014,0,1
0.00720014,0,1
0.00722014,0,1
0.00724014,0,1
0.00726014,0,1
0.00728014,0,1
0.00730014,0,1
0.00732014,0,1
0.00732014,1,5
0.00734014,0,1
0.00736014,0,1
0.00736014,1,1
0.00738014,0,1
0.00738014,1,20
0.00740014,0,1
0.00742014,0,1
0.00744014,0,1
0.00746014,0,1
0.00748014,0,1
0.00750014,0,1
0.00752014,0,1
0.00754014,0,1
0.00756014,0,1
0.00758014,0,1
0.00760014,0,1
0.00762014,0,1
0.00764014,0,1
0.00766014,0,1
0.00768014,0,1
0.00770014,0,1
0.00772014,0,1
0.00774014,0,1
0.00775014,1,15
0.00776014,0,1
0.00778014,0,1
0.00780014,0,1
0.00782014,0,1
0.00784014,0,1
0.00786014,0,1
0.00788014,0,1
0.00790014,0,1
0.00792014,0,1
0.00792014,1,30
0.00794014,0,1
0.00796014,0,1
0.00798014,0,1
0.00800014,0,1
0.00802014,0,1
0.00804014,0,1
0.00804014,1,23
0.00806014,0,1
0.00808014,0,1
0.00810014,0,1
0.00812014,0,1
0.00814014,0,1
0.00816014,0,1
0.00818014,0,1
0.00820014,0,1
0.00821014,1,29
0.00822014,0,1
