time,step_1,step_2,step_3,step_4,step_5,
0.00386014,1,2,5,6,6,6,
0.00388014,1,2,5,6,6,6,
0.00390014,1,2,5,6,6,6,
0.00392014,1,2,5,6,6,6,
0.00394014,1,2,5,6,6,6,
0.00396014,1,2,5,6,6,6,
0.00398014,1,4,5,6,6,6,
0.00400014,1,4,6,6,6,6,
0.00402014,1,4,6,6,6,6,
0.00404014,1,4,6,6,6,2,
0.00406014,1,4,6,6,6,6,
0.00408014,1,4,6,6,4,6,
0.00410014,1,4,6,6,4,6,
0.00412014,1,4,6,6,4,6,
0.00414014,1,4,6,6,4,6,
0.00416014,2,4,6,6,4,6,
0.00416014,2,4,6,6,4,6,
0.00418014,2,4,6,6,4,5,
0.00420014,2,4,6,6,4,5,
0.00422014,2,4,6,6,4,5,
0.00424014,2,4,6,6,4,5,
0.00426014,2,6,6,6,4,5,
0.00428014,2,6,6,6,4,5,
0.00430014,2,6,6,6,4,5,
0.00432014,2,6,6,6,4,5,
0.00434014,2,6,6,6,4,5,
0.00436014,2,6,6,6,4,5,
0.00438014,2,6,6,6,4,5,
0.00440014,2,6,6,6,4,5,
0.00442014,2,6,6,6,4,5,
0.00444014,2,6,6,6,4,5,
0.00446014,2,6,6,6,4,5,
0.00448014,2,6,6,6,4,5,
0.00449014,2,6,6,6,3,5,
0.00450014,2,6,6,6,3,5,
0.00452014,2,6,6,6,3,5,
0.00454014,2,6,6,6,3,5,
0.00456014,2,6,6,6,3,3,
0.00458014,2,6,6,6,3,3,
0.00460014,2,2,6,6,3,3,
0.00460028,2,2,6,6,3,3,
0.00462014,2,2,6,6,3,3,
0.00464014,2,2,6,6,3,3,
0.00466014,2,2,6,6,3,3,
0.00468014,2,2,6,6,3,3,
0.00470014,2,2,6,6,3,3,
0.00472014,2,2,6,6,3,5,
0.00472014,2,2,6,6,3,5,
0.00473014,2,5,6,6,3,5,
0.00474014,2,5,6,6,3,5,
0.00476014,2,4,6,6,3,5,
0.00476014,2,4,6,6,3,5,
0.00478014,2,4,6,6,3,5,
0.00479014,1,4,6,6,3,5,
0.00480014,1,4,6,6,3,5,
0.00482014,1,4,6,6,3,5,
